lambda, precision, recall
1316.71424163 , 1.0 , 0.4
1053.37139331 , 1.0 , 0.4
842.697114646 , 1.0 , 0.8
674.157691717 , 1.0 , 1.0
539.326153373 , 1.0 , 1.0
431.460922699 , 1.0 , 1.0
345.168738159 , 1.0 , 1.0
276.134990527 , 1.0 , 1.0
220.907992422 , 1.0 , 1.0
176.726393937 , 1.0 , 1.0
141.38111515 , 1.0 , 1.0
113.10489212 , 1.0 , 1.0
90.483913696 , 1.0 , 1.0
72.3871309568 , 1.0 , 1.0
57.9097047654 , 0.833333333333 , 1.0
46.3277638123 , 0.833333333333 , 1.0
37.0622110499 , 0.714285714286 , 1.0
29.6497688399 , 0.714285714286 , 1.0
23.7198150719 , 0.5 , 1.0
18.9758520575 , 0.333333333333 , 1.0
15.180681646 , 0.263157894737 , 1.0
12.1445453168 , 0.227272727273 , 1.0
9.71563625345 , 0.217391304348 , 1.0
7.77250900276 , 0.208333333333 , 1.0
6.21800720221 , 0.185185185185 , 1.0
4.97440576177 , 0.178571428571 , 1.0
3.97952460942 , 0.147058823529 , 1.0
3.18361968753 , 0.138888888889 , 1.0
2.54689575003 , 0.131578947368 , 1.0
2.03751660002 , 0.128205128205 , 1.0
1.63001328002 , 0.119047619048 , 1.0
1.30401062401 , 0.116279069767 , 1.0
1.04320849921 , 0.116279069767 , 1.0
