1.000000000000000000e+02,1.919191919191919060e-01,2.020202020202020166e-01
2.000000000000000000e+02,1.407035175879396971e-01,1.758793969849246352e-01
3.000000000000000000e+02,1.605351170568561914e-01,1.438127090301003219e-01
4.000000000000000000e+02,1.378446115288220475e-01,1.228070175438596423e-01
5.000000000000000000e+02,1.262525050100200275e-01,1.102204408817635262e-01
6.000000000000000000e+02,1.101836393989983343e-01,9.348914858096828151e-02
7.000000000000000000e+02,1.058655221745350566e-01,9.012875536480687011e-02
8.000000000000000000e+02,9.887359198998747767e-02,8.760951188986232374e-02
9.000000000000000000e+02,8.898776418242491937e-02,8.231368186874304937e-02
1.000000000000000000e+03,8.708708708708708113e-02,7.907907907907907319e-02
